pt,en,domain,source,note
"""Alienation of affect law"" (only 12 states have it","Lei da ""alienação de fato"" (amante que rouba marido)",legal-general,Noronha,
"""am form"" (autorização para movimentação de conta vinculada)",authorization to operate a blocked account (it is given in connection with release of FGTS to a worker),legal-general,Noronha,
"""caveat"" emptor (product liability)",princípio de marketing que regia as relações comerciais,legal-general,Noronha,
"""dumping"" (vender mercadoria abaixo do preço de mercado",dumping,legal-general,Noronha,
"""papagaio"", letra de favor",accomodation note,legal-general,Noronha,
(*),"UEPS - último a entrar, primeiro a sair do estoque",legal-general,Noronha,
(accommodation) endorsement,aval,legal-general,Noronha,
(ata) premium (prêmio de seguro) – surcharge (sobre preço)/ overprice,ágio,legal-general,Noronha,
(cash) dividend,dividendo,legal-general,Noronha,
(concessions),"(concessões, condescendências)",legal-general,Noronha,
(covenants) promise to do something (or not to do something),obrigações de fazer (ou de não fazer),legal-general,Noronha,
(customs) clearance,liberação (alfandegária),legal-general,Noronha,
(event of default),(caso de inadimplência),legal-general,Noronha,
(I) rest my case (ref. trial),dou por encerrada a defesa (ref. julgamento),legal-general,Noronha,
"(Labor) Mediation Board, Labor Grievance Settlement and Trial Panel/ Board",Junta de Conciliação e Julgamento,legal-general,Noronha,
"(macho) plug, (fêmea) socket, outlet",tomada,legal-general,Noronha,
(mixed) trademark,marcas registradas (mistas),legal-general,Noronha,
(overhead) travelling crane,ponte rolante,legal-general,Noronha,
(overhead) travelling crane with jib,ponte rolante com pinça,legal-general,Noronha,
(pegdog with) saddle stiteh,garra (para caderno),legal-general,Noronha,
(Período de) Mandato,Term of office,legal-mixed,TIPS,
(por) prazo indeterminado,with no final term,legal-general,Noronha,
(portfolio),(carteira),legal-general,Noronha,
(principal) access routes,"eixos de acesso (Anhanguera, Fernão Dias, Imigrantes)",legal-general,Noronha,
(Property Manager),(Chefe do Patrimônio),legal-general,Noronha,
"(proprietary) interest (às vezes, equity)",participação societária,legal-general,Noronha,
(redemption),(o contrato de lançamento diz que a empresa pode comprar de novo as ações que vendeu se o comprador comprou ações preferenciais),legal-general,Noronha,
(rights cannot be abridged),Ex.: não é possível deixar de dar descanso remunerado,legal-general,Noronha,
(securities),(títulos),legal-general,Noronha,
(sludge) digestors,digestores,legal-general,Noronha,
(to) covenant,(se obrigar),legal-general,Noronha,
(UK) a person is in one of the professions on in trade,ofício,legal-general,Noronha,
(“H”) shape,perfil (estaca),legal-general,Noronha,
... said it would breach the contract,descumprimento,legal-general,Noronha,
... vias do mesmo teor e forma,counterparts of equal form and,legal-general,Noronha,
1 - employee claims,2 - créditos fiscais e parafiscais,legal-general,Noronha,
13th­ salary,"gratificação natalina, 13º salário",legal-general,Noronha,
1995 taxable year,ano-base 1995,legal-general,Noronha,
1st Panel Office of Superior Labor Court,Secretaria da 1ª Turma do Tribunal Superior do Trabalho,legal-general,Noronha,
2 - taxes and similar claims,3 - encargos da massa,legal-general,Noronha,
20th Notary Public Office,vigésimo Cartório,legal-general,Noronha,
3 - court costs,4 - dívidas da massa,legal-general,Noronha,
4 - debt incurred by trustee,5 - créditos com direito real de garantia (p. ex.: hipoteca),legal-general,Noronha,
5 (cinco),Five (5),legal-mixed,TIPS,
5 - secured credits,6 - créditos com privilégio especial sobre certos bens (aluguel),legal-general,Noronha,
6 - specially privileged credits (rent),7 - créditos com privilégio geral (debêntures),legal-general,Noronha,
7 - credits with a general privilege (debentures),9 - sobras após liquidação,legal-general,Noronha,
A advogada Dra. Sandra Gomes,Sandra Gomes Esq.,legal-mixed,TIPS,
A Ação Ordinária Sem Direito a Voto tiver direito a voto,The Non-Voting Common Stock is entitled to vote,legal-mixed,TIPS,
A child without a known father,Ilegitimidade,legal-mixed,TIPS,
a compensar cheque),check to be cleared.,legal-general,Noronha,
a critério,at its discretion,competition,CADE,
a crédito,chargeable; financed; leveraged.,legal-general,Noronha,
a curto prazo,short term.,legal-general,Noronha,
a de facto disclosure,"uma revelação efetiva, de fato",legal-general,Noronha,
a descoberto,short; open.,legal-general,Noronha,
a favorable plea bargain,uma negação favorável da pena,legal-general,Noronha,
a granel,in bulk.,legal-general,Noronha,
a hefty fine,uma multa substancial,legal-general,Noronha,
a house built,no campo da construção civil,legal-general,Noronha,
a motion was duly made and carried,moção … apresentada e aprovada,legal-general,Noronha,
a motion was duly made seconded and carried,"uma moção foi devidamente feita, apoiada e aprovada",legal-general,Noronha,
a motion was made and carried that the minutes be approved as read,moção foi aprovada no sentido de que a ata fosse aprovada na forma como foi lida,legal-general,Noronha,
a portas cerradas,in camera proceedings.,legal-general,Noronha,
a portas fechadas,in camera proceedings.,legal-general,Noronha,
a priori,theoretically,competition,CADE,
A qualquer momento,At any time,legal-mixed,TIPS,
a qualquer título,on any account,legal-general,Noronha,
a quo; ad quem,"court of judge from which a dispute is sent to another, which is the court or judge. These terms also refer to beginning and end of a time period; ""dia a quo"" and ""dia ad quem"" (""dies a quo"" and ""dies ad quem"")",legal-general,Noronha,
a redistribuição de um bloco de ações algum tempo depois de vendidas pela companhia emitente,secondary distribution; secondary offering,legal-general,Noronha,
a seu critério,at his discretion; at the discretion of,legal-general,Noronha,
A Superintendência-Geral do Cade,CADE's General Superintendence,competition,CADE,
a termo v.v.,future at sellers' discretion,legal-general,Noronha,
a título gratuito,free of charge,legal-general,Noronha,
a título oneroso,remunerated,legal-general,Noronha,
"a) general partners, personally liable","b) sócios capitalistas que só são responsáveis até o limite do capital que investiram e não participam da administração, sócios comanditários",legal-general,Noronha,
a. linear,straight-line depreciation,legal-general,Noronha,
a.a. (ao ano),per annum (p.a.),legal-general,Noronha,
A.B.A. (equivalent to American Bar Association),OAB (Ordem dos Advogados do Brasil),legal-general,Noronha,
A.W.W. (Average Weekly Wage),Salário Semanal Médio,legal-general,Noronha,
ab-rogado,abrogative; annullable; cancelable; repealable.,legal-general,Noronha,
ab-rogador,abrogator; repealer; abolisher.,legal-general,Noronha,
ab-rogar,to abrogate; repeal; annul.,legal-general,Noronha,
ab-rogar (vb),to abrogate,legal-general,Noronha,
ab-rogativo,abrogative.,legal-general,Noronha,
ab-rogatório,abrogatory.,legal-general,Noronha,
ab-rogação,abrogation,legal-general,Noronha,
ab-rogação,abrogation; repeal; defeasance; annulment.,legal-general,Noronha,
aba,edge; rim; brim; border.,legal-general,Noronha,
abacaxi,predicament,legal-general,Noronha,
abacto,violent.,legal-general,Noronha,
abadia,abbey.,legal-general,Noronha,
abaixar,to lower; drop; reduce; diminish; lessen.,legal-general,Noronha,
abaixo,under; below; beneath; down; inferior.,legal-general,Noronha,
abaixo da avaliação,below evaluation; under the appraised value.,legal-general,Noronha,
abaixo do custo,below cost.,legal-general,Noronha,
abaixo do par,below par; under par.,legal-general,Noronha,
abaixo do valor nominal,below par.,legal-general,Noronha,
abaixo qualificado,identified below; personals below,legal-general,Noronha,
abaixo-assinado,petition; pleading; subscription; application with the signature of,legal-general,Noronha,
abaixo-assinado,petitioner; undersigned; pleader.,legal-general,Noronha,
abaixo; adiante (cláusula),below; hereinbelow,legal-general,Noronha,
abalroador,the colliding party; the colliding vessel.,legal-general,Noronha,
abalroamento,collision.,legal-general,Noronha,
abalroar,to collide with; run into with; assault; attack; board; crash.,legal-general,Noronha,
abalroação,collision.,legal-general,Noronha,
abandidar-se,to become a bandit; become a criminal.,legal-general,Noronha,
abandonadao),abandoned; forsaken; alone.,legal-general,Noronha,
abandonado (recurso),vacated,legal-general,Noronha,
abandonador,deserter; abandoner.,legal-general,Noronha,
abandonar,to abandon; desert; forsake; surrender.,legal-general,Noronha,
abandonar uma ação judicial,to abandon or drop a lawsuit; withdraw a suit; desert a suit.,legal-general,Noronha,
abandonatário,abandonee; person who takes over something that has been abandoned.,legal-general,Noronha,
abandoned merchandise,mercadoria não reclamada,legal-general,Noronha,
abandonment,abandono,legal-general,Noronha,
abandonment,renúncia,legal-general,Noronha,
abandonment of appeal,deserção do recurso,legal-general,Noronha,
"abandonment of suit, desertion of suit","abandono de causa, deserção da instância",legal-general,Noronha,
abandonment or rights,abandono de direitos,legal-general,Noronha,
abandono,abandonment; desertion; relinquishment; dereliction.,legal-general,Noronha,
abandono assecuratório,abandonment of ship.,legal-general,Noronha,
abandono da carga,abandonment of freight; sacrifice of cargo.,legal-general,Noronha,
abandono da coisa,abandonment.,legal-general,Noronha,
abandono da família,desertion of family; abandonment of family.,legal-general,Noronha,
abandono da herança,renunciation of estate.,legal-general,Noronha,
abandono da prole,desertion of one's children; abandonment of one's children.,legal-general,Noronha,
abandono da servidão,abandonment of easement.,legal-general,Noronha,
abandono de bens,abandonment of property.,legal-general,Noronha,
abandono de cargo,abandonment of office; abandonment of position; abandonment of job.,legal-general,Noronha,
abandono de causa,desertion of case; abandonment of suit.,legal-general,Noronha,
abandono de direitos,abandonment of rights.,legal-general,Noronha,
abandono de emprego,abandonment of office; abandonment of job.,legal-general,Noronha,
abandono de frete,abandonment of freight.,legal-general,Noronha,
abandono de navio,abandonment of ship.,legal-general,Noronha,
abandono liberatórioP),release by abandonment.,legal-general,Noronha,
abandonável,abandonable.,legal-general,Noronha,
abaratar,to reduce price; sell cheaper.,legal-general,Noronha,
abarcamento,accumulation of stocks with the intention of increasing prices.,legal-general,Noronha,
abarcar,to accumulate stocks with the intention of increasing prices.,legal-general,Noronha,
abarracamento,encampment.,legal-general,Noronha,
abarrotamento,completion; repletion.,legal-general,Noronha,
abarrotar,to complete; overload; overcrowd.,legal-general,Noronha,
abarrotar o mercado,glut the market; overload the market (to),legal-general,Noronha,
abastado,rich; wealthy.,legal-general,Noronha,
abastar,to supply.,legal-general,Noronha,
